URL,Title,Views,Likes,Dislikes,Channel Name,Subscribers,Publish Date
https://www.youtube.com/watch?v=WJgWDFSpT8Y,Shahid Afridi Amazing 100 vs New Zealand Sharjah Cup 2001 2002(Super rare),"776,466","2,172",267,Straight Drive,146K,"Sep 28, 2017"
https://www.youtube.com/watch?v=AY23BXu2nQE,Shoaib Akhtar BRUTAL BOUNCER to Shane Watson 2002 GABBA,"7,882,487","15,258","1,762",robelinda2,337K,"Apr 20, 2012"
https://www.youtube.com/watch?v=nYSNB_tWeiI,"Amazing Life Story of Boom Boom Shahid Afridi, All the Time Great All Rounder of Pakistan Urdu/Hindi","398,845","4,573",321,Asif Ali TV,564K,"Apr 29, 2017"
https://www.youtube.com/watch?v=YTS9EFE2COE,Pakistan vs Australia 2nd T20 Match Super Over 7-9-2012,"4,515,664","6,202","1,571",Piterson Hug,6.6K,"Sep 7, 2012"
https://www.youtube.com/watch?v=Ux5kbmVefts,10 longest sixes in cricket history | Hindi Education,"358,791","2,698",464,Hindi Education,325K,"Feb 16, 2018"
https://www.youtube.com/watch?v=NZ-rkOY8sTY,Top 10 Best Bowled Wickets by Shoaib Akhtar in Cricket History of all Times,"2,627,730","25,282","1,520",TOP10 CRICKET,342K,"Jul 7, 2017"
https://www.youtube.com/watch?v=9uwO7xAuxys,Top 10 Most Dangerous Airports in the World Air Craft Landing And Take Off,"4,417,822","8,983","2,616",K TV,206K,"Dec 14, 2017"
https://www.youtube.com/watch?v=Dh2G5c1MuuI,"Chris Gayle Batting Fastest Fifty, & Longest Six in Cricket History , 50 runs of 12 balls ( HD )","13,184,650","71,847","9,549",Atique Rahman,,"Oct 27, 2016"
https://www.youtube.com/watch?v=M4RzFiyFz4c,shahid afridi best inings in psl semi final,"539,056","2,592",284,Cricket Overall Chaska,3K,"Sep 9, 2017"
https://www.youtube.com/watch?v=-gImHMFmj_k,SACHIN vs McGrath - This is Why We call SACHIN - GOD OF CRICKET ( He reply with BAT ),"8,624,075","30,212","3,699",CricketCloud,368K,"Dec 14, 2016"
https://www.youtube.com/watch?v=TdKgdVyJjJA,Highlights | BAN v IND | Asia Cup T20 FINAL | 2nd Innings,"1,026,225","1,613",432,Shahid Rassol,2.7K,"Mar 6, 2016"
https://www.youtube.com/watch?v=FbxQN2kqMTM,Best 50 Catches in Cricket Ever || Thanks for 50K Subcribers ||,"9,153,648","37,349","4,851",RangeRIX,259K,"Sep 17, 2017"
https://www.youtube.com/watch?v=5JxF78cZr5I,India vs Sri Lanka World Cup Final 2011 Full Highlights,"11,847,724","79,513","7,605",CricTopHitz,89K,"Mar 9, 2018"
https://www.youtube.com/watch?v=_N5hfJk-C_o,You Never Seen This Type Of Biryani Making | Muslim Mutton Briyani | Street Food,"635,164","2,013",575,KikTV Network,51K,"May 27, 2018"
https://www.youtube.com/watch?v=pmToiLGmZoc,Top 3 Hat tricks by Indian Players !!!,"9,484,470","43,321","3,481",I Love Cricket,709K,"Aug 1, 2016"
https://www.youtube.com/watch?v=MAzaJ9go2Jg,six sixes and presentation of yuvi.divx,"531,147","5,512",124,Abhinav Tagra,995,"May 5, 2012"
https://www.youtube.com/watch?v=cDP_qw5JA8E,Pakistan vs Australia Shahid Afridi crazy Batting vs Shane Watson  in test match,"1,288,499","5,126",831,Cricket Highlights,,"Oct 24, 2017"
https://www.youtube.com/watch?v=rtx2uTkew4c,India vs Pakistan 2nd ODI 2005 Highlights | MS DHONI 148 Match | Dhoni 1st ODI Century,"8,164,604","11,960","4,746",Darting Eagles,210K,"Nov 26, 2016"
https://www.youtube.com/watch?v=1ogD0aIpe9s,10 Impossible Things That Only Lionel Messi Is Capable of Doing ● He Is A Super Human ● HD,"18,749,166","112,537","7,941",NugoBasilaiaa,487K,"May 2, 2017"
https://www.youtube.com/watch?v=BcqaM_jTo58,"Afridi abusing Dhoni and Dhoni's Epic Reply : 4,6,4,4,6,6,4 **NEVER MESS WITH MSD..!!!**","8,886,039","20,491","3,110",Darting Eagles,210K,"Feb 17, 2017"
https://www.youtube.com/watch?v=k4gMDoT1i7s,Most Stupid Ways to Get RUNOUT In Cricket - Part 2 - LOL - Don't Miss!,"2,234,426","6,638","1,296",TK TV,230K,"Dec 29, 2017"
https://www.youtube.com/watch?v=tYWPFqAtzfc,Yuvraj Sixes vs Dhoni six,"5,978,361","34,006","3,183",cricket lovers S,28K,"Sep 15, 2015"
https://www.youtube.com/watch?v=F18rTG2KwIU,India vs Sri Lanka 3rd ODI 2005 Highlights - Jaipur | MS DHONI 183 Match | Dhoni 2nd ODI Century,"1,463,112","3,196",990,Darting Eagles,210K,"Nov 26, 2016"
https://www.youtube.com/watch?v=G4JDmIQXpbI,10 Wickets in a Cricket Match by Anil Kumble ●► W W W W W W W W W W,"4,542,194","18,559","1,375",cRiCkEt cRaZe,139K,"May 14, 2016"
https://www.youtube.com/watch?v=t8cziHtoKPU,india pakistan bowl out,"3,058,759","21,468","2,245",Rajesh Vasanth,12K,"Aug 17, 2009"
https://www.youtube.com/watch?v=oJF_AzhNNWk,7 Times Yuvraj Singh Looked Invincible In Cricket Field,"633,410","3,983",324,WeSpeakCricket,250K,"Jul 3, 2017"
https://www.youtube.com/watch?v=A8TPQAdWwBQ,Best Catches in Cricket History! Best Acrobatic Catches! PART-2 (Please comment the best catch),"15,568,600","40,473","6,779",CricketCloud,368K,"Aug 25, 2016"
https://www.youtube.com/watch?v=ZwEkxTd4gJQ,FIFA certified football turf -- testing procedure,"484,499","2,187",313,FIFATV,6M,"Feb 14, 2014"
https://www.youtube.com/watch?v=fJeJuc27ggE,Belgium v Japan - 2018 FIFA World Cup Russia™ - Match 54,"12,542,030","87,534","4,574",FIFATV,6M,"Jul 2, 2018"
https://www.youtube.com/watch?v=gB3_ICJYBEc,"Club Classic: Messi, Barca rout Neymar, Santos","1,393,544","4,821",833,FIFATV,6M,"Dec 8, 2015"
https://www.youtube.com/watch?v=MUfh1d_RSOQ,Four-goal French too good for Canucks,"1,143,575","2,872",491,FIFATV,6M,"Jun 8, 2012"
https://www.youtube.com/watch?v=3axl6JVrdNs,Uruguay Vs Ghana And The Second Hand Of God (EXCLUSIVE),"1,718,790","6,369",955,FIFATV,6M,"May 12, 2018"
https://www.youtube.com/watch?v=4rp2aLQl7vg,Portugal v Spain - 2018 FIFA World Cup Russia™ - MATCH 3,"54,749,203","394,524","33,033",FIFATV,6M,"Jun 15, 2018"
https://www.youtube.com/watch?v=EOgtthq5x9A,"World Cup Highlights: Argentina - Nigeria, USA 1994","4,068,727","7,875","1,539",FIFATV,6M,"Jun 24, 2014"
https://www.youtube.com/watch?v=RbmaLT320hw,Colombia v England - 2018 FIFA World Cup Russia™ - Match 56,"10,222,794","56,109","5,287",FIFATV,6M,"Jul 3, 2018"
https://www.youtube.com/watch?v=q74-vmWYcLI,Stunning winner lifts Brazil in final for the ages,"326,986","1,288",85,FIFATV,6M,"Jul 13, 2013"
